Method,Configuration,Average Time (s),Std Time (s),Min Time (s),Max Time (s),R² Score,Speedup
Physics-based Simulation,VirtualMRI + Graph Processing,258.20853925247985,4.306620882822387,247.7683494091034,266.06773257255554,N/A,1.0
DenseNet169,HuberLoss + AdamW,0.0027318398157755532,0.000867233508839224,0.0024515092372894287,0.005969002842903137,0.92,94518.18432449926
BasicUNet,HuberLoss + AdamW,0.006855864822864532,0.0011314825585334821,0.006184056401252747,0.01101047545671463,0.89,37662.43149826204
EfficientNetB4,CustomL1Loss + Adam,0.0020957852403322855,0.0003650252490274236,0.001968197524547577,0.00345446914434433,0.88,123203.7206310037
Regressor,CustomL1Loss + Adam,0.0004441698392232259,5.762598383278467e-05,0.0003678053617477417,0.0005014091730117798,0.88,581328.3938955439
AutoEncoder,MSELoss + AdamW,0.005641946693261465,0.0022590608873332032,0.0014018341898918152,0.010367311537265778,0.87,45765.85942594508
